Treatments,Time,Sulfate,Lactate,Glucose,FP_abs,DP_abs,Sulfide
FP_8,36.58,1.0,1.0,1.0,0.0618764485891311,0.0,0.0
FP_9,0.0,0.5,0.5,0.5,0.01,0.0,0.0
FP_9,6.97,0.5,0.5,0.5,0.0019981318111996,1.8691623429037e-06,0.0
FP_9,10.28,0.5,0.5,0.5,0.0231146853262101,0.0,0.0
FP_9,18.66,0.5,0.5,0.5,0.0357036435289267,2.96930786884316e-05,0.0
FP_9,36.58,0.5,0.5,0.5,0.0709333364168803,0.0,0.0
Pair_1,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Pair_1,6.97,0.0,0.0,0.0,0.0341460374539408,0.0759206291491476,0.0469019639829317
Pair_1,10.28,0.0,0.0,0.0,0.0691666778954525,0.119589626985039,0.08674142135991
Pair_1,18.66,0.0,0.0,0.0,0.0867323312279343,0.142633023085057,0.0908227722107525
Pair_1,36.58,0.0,0.0,0.0,0.169641993452803,0.148958009869163,0.0101120629256925
Pair_10,0.0,0.66,0.66,0.66,0.01,0.01,0.0
Pair_10,6.97,0.66,0.66,0.66,0.036148319308229,0.091701224768395,0.0836031546925833
Pair_10,10.28,0.66,0.66,0.66,0.0875447400739497,0.24312192555957,0.326123024926735
Pair_10,18.66,0.66,0.66,0.66,0.0827149987848017,0.374737080528614,0.34703863633777
Pair_10,36.58,0.66,0.66,0.66,0.244751165910837,0.352303378673904,0.0399768859578775
Pair_2,0.0,0.0,0.0,1.0,0.01,0.01,0.0
Pair_2,6.97,0.0,0.0,1.0,0.0392300053930503,0.0690540770152349,0.054075676235495
Pair_2,10.28,0.0,0.0,1.0,0.0723476321998628,0.124746528856622,0.091417379233935
Pair_2,18.66,0.0,0.0,1.0,0.101671092869784,0.140928905445392,0.086201912887595
Pair_2,36.58,0.0,0.0,1.0,0.404849224531419,0.169123637148229,0.016991918306255
Pair_3,0.0,0.0,1.0,0.0,0.01,0.01,0.0
Pair_3,6.97,0.0,1.0,0.0,0.0275706583886517,0.0478811938118715,0.0397996175027017
Pair_3,10.28,0.0,1.0,0.0,0.0621088078108518,0.123053982270758,0.0417901334426375
Pair_3,18.66,0.0,1.0,0.0,0.0874310050392672,0.104575721169238,0.0733785838246225
Pair_3,36.58,0.0,1.0,0.0,0.14520332294882,0.128263347961697,0.007301339098755
Pair_4,0.0,0.0,1.0,1.0,0.01,0.01,0.0
Pair_4,6.97,0.0,1.0,1.0,0.0263955255266727,0.0673378094120124,0.0643232259200167
Pair_4,10.28,0.0,1.0,1.0,0.0632479254826747,0.0982187370037196,0.0846007548023925
Pair_4,18.66,0.0,1.0,1.0,0.0813817657297812,0.12067333176622,0.0853411335982525
Pair_4,36.58,0.0,1.0,1.0,0.310700719092032,0.144965956475595,0.012656070586105
Pair_5,0.0,1.0,0.0,0.0,0.01,0.01,0.0
Pair_5,6.97,1.0,0.0,0.0,0.036658894912719,0.0899411067403165,0.0697810271015217
Pair_5,10.28,1.0,0.0,0.0,0.073391069416888,0.141832393462534,0.113682343856395
Pair_5,18.66,1.0,0.0,0.0,0.0874590864165207,0.131407489033224,0.121964837355085
Pair_5,36.58,1.0,0.0,0.0,0.220693137058204,0.202880997908329,0.168587863199895
Pair_6,0.0,1.0,0.0,1.0,0.01,0.01,0.0
Pair_6,6.97,1.0,0.0,1.0,0.0331925078436334,0.0818525843918506,0.0563334409580633
Pair_6,10.28,1.0,0.0,1.0,0.0812025654342608,0.140120912969398,0.067751405968245
Pair_6,18.66,1.0,0.0,1.0,0.0942888237198657,0.148977842613015,0.13707218752863
Pair_6,36.58,1.0,0.0,1.0,0.34935939565746,0.289549895617153,0.124706599586175
Pair_7,0.0,1.0,1.0,0.0,0.01,0.01,0.0
Pair_7,6.97,1.0,1.0,0.0,0.0447547568777633,0.109778584053175,0.107505622940092
Pair_7,10.28,1.0,1.0,0.0,0.0689751782000616,0.235647436569245,0.274634523043665
Pair_7,18.66,1.0,1.0,0.0,0.080421154123348,0.438112169482507,0.332691273505472
Pair_7,36.58,1.0,1.0,0.0,0.193111378053324,0.293888624807698,0.0695642467161925
Pair_8,0.0,1.0,1.0,1.0,0.01,0.01,0.0
Pair_8,6.97,1.0,1.0,1.0,0.0405994919394461,0.105105348126359,0.0908681203676217
Pair_8,10.28,1.0,1.0,1.0,0.101310440004754,0.501742445973646,0.313948971461933
Pair_8,18.66,1.0,1.0,1.0,0.0837119604051382,0.371903793690612,0.368362828946422
Pair_8,36.58,1.0,1.0,1.0,0.265768460156564,0.314182101728796,0.051710606571375
Pair_9,0.0,0.5,0.5,0.5,0.01,0.01,0.0
Pair_9,6.97,0.5,0.5,0.5,0.027866883969515,0.07713311463971,0.06260102116753
Pair_9,10.28,0.5,0.5,0.5,0.0755589145519675,0.175978312274881,0.19668399395962
Pair_9,18.66,0.5,0.5,0.5,0.0976754236759136,0.272969293971664,0.214205337194182
Pair_9,36.58,0.5,0.5,0.5,0.239440757564819,0.266066621978855,0.0147014684325
