Treatments,Time,BT,BV,CH,BU,CS,CA,DP,DSM,MS001,MS008,MS014
MS014-CH-CS-DP-BU-BV-BT-CA_0,12,0.891657427,0.039020412,0.077172856,0.474504639,0.023622978,0.03111814,0.05419406,0.0,0.0,0.0,0.412709493
MS014-CH-CS-DP-BU-BV-BT-CA_0,24,0.784587843,0.012727052,0.080902454,0.28495894,0.035605051,0.053374149,0.057978442,0.0,0.0,0.0,0.398199419
MS014-CH_0,0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
MS014-CH_0,12,0.0,0.0,0.05311185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312721486
MS014-CH_0,24,0.0,0.0,0.08860187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300231445
MS014-CS_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005
MS014-CS_0,12,0.0,0.0,0.0,0.0,0.061267412,0.0,0.0,0.0,0.0,0.0,0.690232575
MS014-CS_0,24,0.0,0.0,0.0,0.0,0.106779921,0.0,0.0,0.0,0.0,0.0,0.603053414
MS014-DP_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
MS014-DP_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.1855166,0.0,0.0,0.0,0.433483404
MS014-DP_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.252101128,0.0,0.0,0.0,0.398232218
MonocultureBT_0,0,0.008733332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,3,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,6,0.505466679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,9,1.093400021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,12,1.098699986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,15,1.044866661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,18,1.004799981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,21,0.997233331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBT_0,24,1.018433352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,0,0.0,0.0,0.0,0.008166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,3,0.0,0.0,0.0,0.039466669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,6,0.0,0.0,0.0,0.203399995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,9,0.0,0.0,0.0,0.607733329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,12,0.0,0.0,0.0,0.912499964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,15,0.0,0.0,0.0,0.904266695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,18,0.0,0.0,0.0,0.83826667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,21,0.0,0.0,0.0,0.777666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBU_0,24,0.0,0.0,0.0,0.736600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,0,0.0,0.001599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,3,0.0,0.031866664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,6,0.0,0.399366646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,9,0.0,0.899999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,12,0.0,0.994466642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,15,0.0,1.066566685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,18,0.0,1.029666681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,21,0.0,0.994799991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureBV_0,24,0.0,0.971433341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,0,0.0,0.0,0.0,0.0,0.0,0.010966668,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,3,0.0,0.0,0.0,0.0,0.0,0.010066668,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,6,0.0,0.0,0.0,0.0,0.0,0.011333336,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,9,0.0,0.0,0.0,0.0,0.0,0.01713333,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,12,0.0,0.0,0.0,0.0,0.0,0.02183333,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,15,0.0,0.0,0.0,0.0,0.0,0.022233327,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,18,0.0,0.0,0.0,0.0,0.0,0.022966662,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,21,0.0,0.0,0.0,0.0,0.0,0.02363333,0.0,0.0,0.0,0.0,0.0
MonocultureCA_0,24,0.0,0.0,0.0,0.0,0.0,0.022799998,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,0,0.0,0.0,0.009500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,3,0.0,0.0,0.026033336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,6,0.0,0.0,0.066966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,9,0.0,0.0,0.268899987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,12,0.0,0.0,0.259633332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,15,0.0,0.0,0.309299995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,18,0.0,0.0,0.321766664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,21,0.0,0.0,0.353233347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCH_0,24,0.0,0.0,0.341866671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,0,0.0,0.0,0.0,0.0,0.007766663,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,3,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,6,0.0,0.0,0.0,0.0,0.050433337,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,9,0.0,0.0,0.0,0.0,0.271666665,0.0,0.0,0.0,0.0,0.0,0.0
